,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Haikyuu!!: To the Top - Statistics,TV,13,Finished Airing,"Jan 11, 2020 to Apr 4, 2020",Winter 2020,Saturdays at 01:25 (JST),Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.36,224,575913,3625,50018,428717,8355,2835,85988,575913,65888,94081,112099,51497,12557,3499,1005,308,161,493
Katanagatari - Statistics,TV,12,Finished Airing,"Jan 26, 2010 to Dec 11, 2010",Winter 2010,Tuesdays at 01:10 (JST),White Fox,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",50 min. per ep.,R - 17+ (violence & profanity),8.36,314,467304,9632,35199,210890,23479,13763,183973,467304,36303,53330,50890,26294,9443,3927,1712,661,328,665
Bakemonogatari - Statistics,TV,15,Finished Airing,"Jul 3, 2009 to Jun 25, 2010",Summer 2009,Fridays at 23:00 (JST),Shaft,"['Romance', 'Supernatural', 'Mystery', 'Vampire']",24 min. per ep.,R - 17+ (violence & profanity),8.35,67,1139630,41463,79223,704760,50185,36765,268697,1139630,123368,176940,169286,80959,28625,12940,6086,2778,1592,2270
Hotarubi no Mori e - Statistics,Movie,1,Finished Airing,"Sep 17, 2011",,,Brain's Base,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",45 min.,G - All Ages,8.35,199,620766,8305,12558,444414,3354,890,159550,620766,80645,91928,95766,52483,17070,6187,2154,718,382,673
Mobile Suit Gundam: The Origin - Statistics,OVA,6,Finished Airing,"Feb 28, 2015 to May 5, 2018",,,Sunrise,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']",1 hr. 11 min. per ep.,R+ - Mild Nudity,8.35,2260,54684,604,8956,20500,2861,866,21501,54684,3353,6587,6470,2710,783,285,150,60,36,241
Natsume Yuujinchou: Itsuka Yuki no Hi ni - Statistics,OVA,1,Finished Airing,"Feb 1, 2014",,,Brain's Base,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",23 min.,PG-13 - Teens 13 or older,8.35,2003,65721,110,1405,42093,578,310,21335,65721,5903,7671,9650,4541,1103,421,74,44,16,64
One Outs - Statistics,TV,25,Finished Airing,"Oct 8, 2008 to Apr 1, 2009",Fall 2008,Unknown,Madhouse,"['Sports', 'Psychological', 'Seinen']",23 min. per ep.,PG-13 - Teens 13 or older,8.35,849,192565,3316,9474,113372,6758,5170,57791,192565,17171,28619,29111,13992,4335,1665,590,210,130,162
Spice and Wolf II,TV,12,Finished Airing,"Jul 9, 2009 to Sep 24, 2009",Summer 2009,Unknown,"Brain's Base,       Marvy Jack","['Adventure', 'Historical', 'Romance', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,8.35,358,412000,3850,13444,294974,9340,4546,89696,412000,43743,68229,70656,35114,10600,3596,1188,366,167,436
Romeo and the Black Brothers,TV,33,Finished Airing,"Jan 15, 1995 to Dec 17, 1995",Winter 1995,Sundays at 19:30 (JST),Nippon Animation,"['Adventure', 'Drama', 'Historical', 'Slice of Life']",23 min. per ep.,PG-13 - Teens 13 or older,8.35,2688,39324,528,1588,17694,999,712,18331,39324,3519,3284,3740,2003,731,368,98,53,19,271
Kids on the Slope,TV,12,Finished Airing,"Apr 13, 2012 to Jun 29, 2012",Spring 2012,Fridays at 00:45 (JST),"Tezuka Productions,       MAPPA","['Drama', 'Josei', 'Music', 'Romance', 'School']",22 min. per ep.,PG-13 - Teens 13 or older,8.35,510,303278,5875,12642,167152,8166,5608,109710,303278,26382,42465,41355,20356,6646,2555,915,332,161,407
Rascal Does Not Dream of Bunny Girl Senpai,TV,13,Finished Airing,"Oct 4, 2018 to Dec 27, 2018",Fall 2018,Thursdays at 02:20 (JST),CloverWorks,"['Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.34,73,1119970,32352,76422,828021,22115,21009,172403,1119970,137984,206855,199991,96063,32987,14463,6341,2704,1442,1793
From the New World,TV,25,Finished Airing,"Sep 29, 2012 to Mar 23, 2013",Fall 2012,Saturdays at 00:30 (JST),A-1 Pictures,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural']",22 min. per ep.,R - 17+ (violence & profanity),8.34,180,648466,20081,45410,263735,31429,28090,279802,648466,58090,65942,56065,30765,13554,7162,4194,1885,1067,1326
ERASED,TV,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,Fridays at 00:55 (JST),A-1 Pictures,"['Mystery', 'Psychological', 'Supernatural', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),8.34,29,1527941,37324,56891,1207717,16767,12613,233953,1527941,212851,289130,269325,141246,49638,18438,8786,3848,1639,1977
Evangelion: 2.0 You Can (Not) Advance - Statistics,Movie,1,Finished Airing,"Jul 27, 2009",,,Khara,"['Action', 'Sci-Fi', 'Psychological', 'Drama', 'Mecha']",1 hr. 52 min.,PG-13 - Teens 13 or older,8.34,396,376452,2616,5110,296861,2213,912,71356,376452,45774,64453,62753,30631,10281,3962,1852,779,440,783
Gintama: Shiroyasha Koutan - Statistics,Special,1,Finished Airing,"Sep 21, 2008",,,Sunrise,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody']",10 min.,PG-13 - Teens 13 or older,8.34,2221,55996,72,1108,40418,474,392,13604,55996,7270,6211,7643,4125,1327,574,129,119,33,366
Given - Statistics,TV,11,Finished Airing,"Jul 12, 2019 to Sep 20, 2019",Summer 2019,Fridays at 00:55 (JST),Lerche,"['Drama', 'Music', 'Romance', 'Shounen Ai', 'Slice of Life']",22 min. per ep.,PG-13 - Teens 13 or older,8.34,458,334795,10631,19573,223939,6062,7337,77884,334795,43997,44626,48956,28064,9143,3653,1203,487,277,472
Erin,TV,50,Finished Airing,"Jan 10, 2009 to Dec 26, 2009",Winter 2009,Unknown,"Production I.G,       Trans Arts","['Drama', 'Fantasy', 'Slice of Life']",25 min. per ep.,PG-13 - Teens 13 or older,8.34,1888,71374,1356,4379,19476,3505,2464,41550,71374,3967,4898,4550,2667,1123,566,239,97,45,109
Made in Abyss Movie 2: Hourou Suru Tasogare - Statistics,Movie,1,Finished Airing,"Jan 18, 2019",,,Kinema Citrus,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",1 hr. 45 min.,R - 17+ (violence & profanity),8.34,1902,70524,90,1703,28492,624,694,39011,70524,4043,5132,6494,2569,706,282,68,32,23,78
Major: World Series - Statistics,OVA,2,Finished Airing,"Dec 16, 2011 to Jan 18, 2012",,,SynergySP,"['Comedy', 'Drama', 'Shounen', 'Sports']",28 min. per ep.,PG-13 - Teens 13 or older,8.34,3073,30851,101,563,24319,232,324,5413,30851,3704,4659,5133,2561,799,280,77,37,22,268
Doukyusei -Classmates-,Movie,1,Finished Airing,"Feb 20, 2016",,,A-1 Pictures,"['Slice of Life', 'Romance', 'School', 'Shounen Ai']",1 hr.,PG-13 - Teens 13 or older,8.33,903,180569,4059,3445,124447,991,1154,50532,180569,22755,24231,26156,14369,4819,1906,696,263,161,315
Fate/stay night [Unlimited Blade Works] Season 2,TV,13,Finished Airing,"Apr 5, 2015 to Jun 28, 2015",Spring 2015,Sundays at 00:00 (JST),ufotable,"['Action', 'Fantasy', 'Magic', 'Supernatural']",24 min. per ep.,R - 17+ (violence & profanity),8.33,173,657400,7294,18265,549862,5522,3695,80056,657400,77106,130287,133813,59273,18310,6976,3320,1447,651,702
K-ON! The Movie,Movie,1,Finished Airing,"Dec 3, 2011",,,Kyoto Animation,"['Music', 'Slice of Life', 'Comedy']",1 hr. 50 min.,PG-13 - Teens 13 or older,8.33,619,255137,1979,3651,194934,1723,898,53931,255137,31502,39264,43983,23460,7449,2594,700,300,207,465
Kino's Journey,TV,13,Finished Airing,"Apr 8, 2003 to Jul 8, 2003",Spring 2003,Tuesdays at 18:30 (JST),A.C.G.T.,"['Action', 'Adventure', 'Psychological', 'Slice of Life']",24 min. per ep.,R - 17+ (violence & profanity),8.33,674,239628,5588,13402,90589,9090,5326,121221,239628,16085,21709,21821,11596,4246,1877,677,271,146,195
Natsume's Book of Friends,TV,13,Finished Airing,"Jul 8, 2008 to Sep 30, 2008",Summer 2008,Tuesdays at 01:00 (JST),Brain's Base,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,8.33,345,433166,13209,26633,188367,18110,10056,190000,433166,31865,40252,46244,25043,7860,3194,886,346,150,249
Natsume Yuujinchou Go Specials - Statistics,Special,2,Finished Airing,"Mar 30, 2017 to Apr 26, 2017",,,Shuka,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.33,2886,34547,52,1066,22226,434,217,10604,34547,3241,3675,5030,2396,659,195,30,18,13,45
Welcome to the N.H.K.,TV,24,Finished Airing,"Jul 10, 2006 to Dec 18, 2006",Summer 2006,Unknown,Gonzo,"['Comedy', 'Psychological', 'Drama', 'Romance']",24 min. per ep.,R+ - Mild Nudity,8.33,220,578765,20969,31062,316284,24818,16373,190228,578765,53793,77578,76765,41046,14544,6009,2544,965,536,631
Shelter - Statistics,Music,1,Finished Airing,"Oct 18, 2016",,,A-1 Pictures,"['Sci-Fi', 'Music']",6 min.,G - All Ages,8.33,559,280190,2234,3882,247525,570,485,27728,280190,47263,46773,50288,26569,9760,4955,1496,668,427,622
Shirobako - Statistics,TV,24,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",Fall 2014,Thursdays at 23:30 (JST),P.A. Works,"['Comedy', 'Drama']",24 min. per ep.,PG-13 - Teens 13 or older,8.33,409,367251,5782,28084,134270,20357,13688,170852,367251,20323,35416,36673,18149,6388,3063,1018,363,184,272
Steins;Gate: Egoistic Poriomania,Special,1,Finished Airing,"Feb 22, 2012",,,White Fox,"['Sci-Fi', 'Comedy']",24 min.,PG-13 - Teens 13 or older,8.33,424,357401,688,4176,303190,1479,736,47820,357401,45608,61594,67638,34328,10605,3996,1159,558,367,576
The Rose of Versailles,TV,40,Finished Airing,"Oct 10, 1979 to Sep 3, 1980",Fall 1979,Wednesdays at 19:00 (JST),Tokyo Movie Shinsha,"['Military', 'Historical', 'Drama', 'Romance', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,8.33,1877,72855,2246,4519,26331,3989,2433,35583,72855,5890,5312,5706,3504,1500,689,311,126,77,146
Neon Genesis Evangelion - Statistics,TV,26,Finished Airing,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,Wednesdays at 18:30 (JST),"Gainax,       Tatsunoko Production","['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",24 min. per ep.,PG-13 - Teens 13 or older,8.32,53,1276949,72156,76042,893972,39166,22316,245453,1276949,206244,185504,173557,102387,41816,19213,10670,4958,3692,4090
LINK CLICK,ONA,11,Currently Airing,"Apr 30, 2021 to ?",,,Haoliners Animation League,"['Super Power', 'Drama', 'Fantasy']",20 min. per ep.,PG-13 - Teens 13 or older,8.32,3722,21217,340,6203,0,280,147,14587,21217,465,513,495,233,67,22,13,7,4,13
Dr. Stone - Statistics,TV,24,Finished Airing,"Jul 5, 2019 to Dec 13, 2019",Summer 2019,Fridays at 22:00 (JST),TMS Entertainment,"['Sci-Fi', 'Adventure', 'Comedy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.32,71,1130042,18485,131973,764460,33202,33639,166768,1130042,109202,191311,222290,102985,27955,10801,4418,1642,891,1034
Fate/Zero - Statistics,TV,13,Finished Airing,"Oct 2, 2011 to Dec 25, 2011",Fall 2011,Sundays at 00:00 (JST),ufotable,"['Action', 'Supernatural', 'Magic', 'Fantasy']",28 min. per ep.,R - 17+ (violence & profanity),8.32,59,1177608,29065,52383,832299,26178,17838,248910,1177608,119760,198363,205604,99839,30224,11374,4253,1509,805,1452
Great Pretender - Statistics,TV,23,Finished Airing,"Jul 9, 2020 to Dec 17, 2020",Summer 2020,Thursdays at 00:55 (JST),Wit Studio,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Psychological']",23 min. per ep.,R - 17+ (violence & profanity),8.32,407,368550,5697,55061,175414,18067,8687,111321,368550,24505,53351,57204,24955,7178,2684,1071,396,158,367
Hunter x Hunter: Original Video Animation - Statistics,OVA,8,Finished Airing,"Jan 17, 2002 to Apr 17, 2002",,,Nippon Animation,"['Action', 'Adventure', 'Super Power', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.32,1423,106094,325,2274,83613,898,822,18487,106094,11871,14580,17250,9024,2548,846,203,81,40,345
Kuroko's Basketball 3,TV,25,Finished Airing,"Jan 11, 2015 to Jun 30, 2015",Winter 2015,Sundays at 01:58 (JST),Production I.G,"['Comedy', 'Sports', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.32,237,557326,4141,26929,452426,9537,5700,62734,557326,67845,93558,103125,52931,16284,5765,1919,794,378,673
The Boy and the Beast,Movie,1,Finished Airing,"Jul 11, 2015",,,Studio Chizu,"['Adventure', 'Supernatural']",1 hr. 59 min.,PG-13 - Teens 13 or older,8.31,472,327796,2604,6865,226834,2032,725,91340,327796,30101,52649,56228,27704,7824,2489,866,315,127,376
Beck: Mongolian Chop Squad,TV,26,Finished Airing,"Oct 7, 2004 to Mar 31, 2005",Fall 2004,Thursdays at 01:30 (JST),Madhouse,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",25 min. per ep.,R - 17+ (violence & profanity),8.31,586,271361,6879,11575,138601,10691,8795,101699,271361,24636,32300,32426,18306,6856,3120,1222,461,225,255
Ace of Diamond: Second Season,TV,51,Finished Airing,"Apr 6, 2015 to Mar 28, 2016",Spring 2015,Mondays at 18:00 (JST),"Production I.G,       Madhouse","['Comedy', 'Sports', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.31,1411,107588,884,9420,73938,3913,2190,18127,107588,9903,16689,19378,9391,2629,937,252,96,95,118
Nodame Cantabile - Statistics,TV,23,Finished Airing,"Jan 12, 2007 to Jun 15, 2007",Winter 2007,Fridays at Unknown,J.C.Staff,"['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Josei']",22 min. per ep.,PG-13 - Teens 13 or older,8.31,585,271114,4665,11629,140264,9636,7082,102503,271114,19631,33136,35637,18112,5829,2340,696,290,140,186
Rurouni Kenshin,TV,94,Finished Airing,"Jan 10, 1996 to Sep 8, 1998",Winter 1996,Wednesdays at 19:30 (JST),"Gallop,       Studio Deen","['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,8.31,367,404965,8696,30957,224519,31859,19298,98332,404965,39181,52159,60237,34736,10640,3983,1209,386,187,333
Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,OVA,3,Finished Airing,"Nov 16, 2007 to Mar 17, 2008",,,Production I.G,"['Action', 'Adventure', 'Drama', 'Romance', 'Fantasy', 'Shounen']",30 min. per ep.,R - 17+ (violence & profanity),8.31,1712,84101,797,2018,57416,1345,892,22430,84101,9087,11151,11116,6631,2357,859,268,105,50,100
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou - Statistics",Special,1,Finished Airing,"Jul 4, 2018",,,Kyoto Animation,"['Slice of Life', 'Drama', 'Fantasy']",34 min.,PG-13 - Teens 13 or older,8.31,786,206882,454,3163,159445,977,412,42885,206882,22413,30712,39183,18520,4853,1627,470,136,74,198
Planetes - Statistics,TV,26,Finished Airing,"Oct 4, 2003 to Apr 17, 2004",Fall 2003,Saturdays at 08:05 (JST),Sunrise,"['Drama', 'Romance', 'Sci-Fi', 'Seinen', 'Space']",25 min. per ep.,PG-13 - Teens 13 or older,8.3,794,204343,3439,11606,72627,9174,6203,104733,204343,11070,19214,19224,9642,3523,1643,665,265,152,183
Sword of the Stranger,Movie,1,Finished Airing,"Sep 29, 2007",,,Bones,"['Action', 'Adventure', 'Historical', 'Samurai']",1 hr. 43 min.,R - 17+ (violence & profanity),8.3,578,273354,2593,6354,170261,1984,667,94088,273354,22929,41118,44432,21493,6058,1994,584,215,77,114
Moriarty the Patriot,TV,11,Finished Airing,"Oct 11, 2020 to Dec 20, 2020",Fall 2020,Sundays at 23:53 (JST),Production I.G,"['Mystery', 'Historical', 'Psychological', 'Thriller', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.06,784,207478,2439,25627,86497,5001,4306,86047,207478,9856,16426,27966,15717,4190,1484,452,185,98,100
Case Closed: The Phantom of Baker Street,Movie,1,Finished Airing,"Apr 20, 2002",,,TMS Entertainment,"['Adventure', 'Mystery', 'Police', 'Shounen']",1 hr. 47 min.,PG-13 - Teens 13 or older,8.3,2083,62132,184,1051,54689,350,443,5599,62132,8344,9426,10643,6127,1895,726,202,109,36,113
KonoSuba: God's Blessing on This Wonderful World! 2,TV,10,Finished Airing,"Jan 12, 2017 to Mar 16, 2017",Winter 2017,Thursdays at 01:05 (JST),Studio Deen,"['Adventure', 'Comedy', 'Parody', 'Supernatural', 'Magic', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.3,76,1099970,10087,44634,919848,13248,9536,112704,1099970,119915,210726,243165,109351,30607,10346,3514,1271,716,951
Silver Spoon 2nd Season,TV,11,Finished Airing,"Jan 10, 2014 to Mar 28, 2014",Winter 2014,Fridays at 00:50 (JST),A-1 Pictures,"['Comedy', 'School', 'Shounen', 'Slice of Life']",24 min. per ep.,PG-13 - Teens 13 or older,8.29,1267,124788,581,3621,96999,2277,1159,20732,124788,9818,23733,28503,11671,2787,852,212,73,33,75
Sound! Euphonium 2,TV,13,Finished Airing,"Oct 6, 2016 to Dec 29, 2016",Fall 2016,Thursdays at 00:00 (JST),Kyoto Animation,"['Music', 'Drama', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,8.29,924,175040,2603,9299,109671,5138,3015,47917,175040,14872,26178,29151,13612,4109,1618,526,209,93,168
Crying for Rain,Music,1,Finished Airing,"Jan 29, 2019",,,"None found, add some",['Music'],4 min.,PG-13 - Teens 13 or older,8.29,3867,19414,176,400,16324,92,134,2464,19414,3683,2784,2906,1589,663,431,178,99,56,99
Ghost in the Shell,Movie,1,Finished Airing,"Nov 18, 1995",,,Production I.G,"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']",1 hr. 22 min.,R+ - Mild Nudity,8.29,292,492680,9771,8727,339238,3631,2001,139083,492680,58403,67977,74215,41370,14385,5326,1944,736,303,500
Redline - Statistics,Movie,1,Finished Airing,"Aug 14, 2009",,,Madhouse,"['Action', 'Sci-Fi', 'Cars', 'Sports']",1 hr. 42 min.,R+ - Mild Nudity,8.29,554,281855,4042,5272,192204,1741,814,81824,281855,29460,43637,46251,24070,7970,2800,930,367,164,295
Castle in the Sky,Movie,1,Finished Airing,"Aug 2, 1986",,,Studio Ghibli,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",2 hr. 4 min.,PG - Children,8.29,419,362623,3025,4025,301315,1678,682,54923,362623,45606,58322,69043,39298,11780,3708,1013,276,135,139
Tokyo Godfathers - Statistics,Movie,1,Finished Airing,"Nov 8, 2003",,,Madhouse,"['Comedy', 'Drama']",1 hr. 32 min.,PG-13 - Teens 13 or older,8.29,759,212326,1667,3668,131809,1581,659,74609,212326,17100,29802,35238,16009,4565,1373,417,155,82,210
My Neighbor Totoro,Movie,1,Finished Airing,"Apr 16, 1988",,,Studio Ghibli,"['Adventure', 'Comedy', 'Supernatural']",1 hr. 26 min.,G - All Ages,8.29,129,789567,6049,8813,679690,2663,1199,97202,789567,115592,124928,143013,84940,29021,10258,2905,935,406,661
No Game No Life: Zero - Statistics,Movie,1,Finished Airing,"Jul 15, 2017",,,Madhouse,"['Game', 'Supernatural', 'Drama', 'Romance', 'Fantasy']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.28,171,659577,6531,16618,464183,5024,4708,169044,659577,79162,90289,89271,52774,21250,8629,4093,1804,969,1149
Nomad: Megalo Box 2 - Statistics,TV,13,Currently Airing,"Apr 4, 2021 to ?",Spring 2021,Sundays at 23:00 (JST),TMS Entertainment,"['Action', 'Drama', 'Sci-Fi', 'Sports']",24 min. per ep.,R - 17+ (violence & profanity),8.28,1376,111343,599,49869,3,1111,671,59689,111343,2127,3905,4732,1892,464,171,67,32,18,52
The King's Avatar (2018),ONA,3,Finished Airing,"Apr 27, 2018 to May 11, 2018",,,Tencent Animation & Comics,"['Action', 'Game']",27 min. per ep.,PG-13 - Teens 13 or older,8.28,1703,84661,312,3297,60239,606,533,19986,84661,7302,11518,14370,6584,1828,590,195,73,50,262
Re:ZERO -Starting Life in Another World-,TV,25,Finished Airing,"Apr 4, 2016 to Sep 19, 2016",Spring 2016,Mondays at 01:05 (JST),White Fox,"['Psychological', 'Drama', 'Thriller', 'Fantasy']",25 min. per ep.,R - 17+ (violence & profanity),8.28,21,1643696,52785,113890,1257580,34497,38578,199151,1643696,209426,295735,303114,150797,53194,23493,12732,5594,3174,4002
Tomorrow's Joe,TV,79,Finished Airing,"Apr 1, 1970 to Sep 29, 1971",Spring 1970,Wednesdays at 19:00 (JST),Mushi Production,"['Action', 'Drama', 'Shounen', 'Slice of Life', 'Sports']",25 min. per ep.,PG-13 - Teens 13 or older,8.28,2071,62656,1393,5120,16557,3661,2322,34996,62656,3353,3977,4313,2496,977,429,239,85,61,281
Douluo Dalu: Xingdou Xian Ji Pian - Statistics,ONA,13,Finished Airing,"Aug 22, 2020 to Nov 14, 2020",,,Sparkly Key Animation Studio,"['Action', 'Adventure', 'Historical', 'Romance', 'Martial Arts', 'Fantasy']",20 min. per ep.,PG-13 - Teens 13 or older,8.28,9037,2046,14,124,1495,17,27,383,2046,303,258,296,132,38,7,3,2,2,7
Gintama: Shinyaku Benizakura-hen - Statistics,Special,1,Finished Airing,"Dec 15, 2010",,,Sunrise,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",11 min.,PG-13 - Teens 13 or older,8.28,2925,33786,38,737,23075,371,336,9267,33786,4099,2854,3768,2416,805,341,90,31,68,311
Kaiji: Ultimate Survivor,TV,26,Finished Airing,"Oct 3, 2007 to Apr 2, 2008",Fall 2007,Wednesdays at 00:59 (JST),Madhouse,"['Game', 'Psychological', 'Thriller', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),8.28,601,263641,7721,14476,140834,9741,6665,91925,263641,21146,36273,38143,17892,5706,2307,1095,363,219,316
Fighting Spirit: Champion Road,Special,1,Finished Airing,"Apr 18, 2003",,,Madhouse,"['Comedy', 'Shounen', 'Sports']",1 hr. 30 min.,PG-13 - Teens 13 or older,8.28,1463,102576,170,1690,86371,551,398,13566,102576,10215,16843,21878,10096,2520,710,137,68,32,257
Hunter x Hunter: Greed Island Final - Statistics,OVA,14,Finished Airing,"Mar 3, 2004 to Aug 18, 2004",,,Nippon Animation,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.28,1329,117171,208,2274,96587,877,794,16639,117171,13379,16658,19422,10191,3186,1104,371,165,119,309
Initial D First Stage - Statistics,TV,26,Finished Airing,"Apr 19, 1998 to Dec 6, 1998",Spring 1998,Tuesdays at 00:00 (JST),"Gallop,       Studio Comet","['Action', 'Cars', 'Drama', 'Seinen', 'Sports']",25 min. per ep.,PG-13 - Teens 13 or older,8.28,630,252364,7300,16044,161780,8861,5303,60376,252364,24612,32196,40889,21953,6208,2244,701,238,160,235
Millennium Actress,Movie,1,Finished Airing,"Sep 14, 2002",,,Madhouse,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance']",1 hr. 26 min.,PG-13 - Teens 13 or older,8.27,1183,135581,1913,2674,76464,1212,511,54720,135581,12008,16733,18552,9540,3399,1234,460,151,76,188
Laid-Back Camp,TV,12,Finished Airing,"Jan 4, 2018 to Mar 22, 2018",Winter 2018,Thursdays at 23:00 (JST),C-Station,"['Slice of Life', 'Comedy']",23 min. per ep.,PG-13 - Teens 13 or older,8.27,435,347695,7324,31247,170536,12542,8622,124748,347695,25632,38986,49921,24951,7416,2707,804,296,145,252
Nodame Cantabile: Finale - Statistics,TV,11,Finished Airing,"Jan 15, 2010 to Mar 26, 2010",Winter 2010,Fridays at 00:45 (JST),J.C.Staff,"['Comedy', 'Josei', 'Music', 'Romance']",22 min. per ep.,PG-13 - Teens 13 or older,8.26,1352,114092,381,2962,81723,1825,986,26596,114092,9491,17610,21212,10246,2861,817,248,96,36,73
Spice and Wolf,TV,13,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",Winter 2008,Wednesdays at 01:30 (JST),Imagin,"['Adventure', 'Fantasy', 'Historical', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,8.26,165,673370,15875,31981,402633,26519,17031,195206,673370,57995,89951,100829,54641,17917,7301,2275,824,383,490
Space Dandy 2nd Season,TV,13,Finished Airing,"Jul 6, 2014 to Sep 25, 2014",Summer 2014,Unknown,Bones,"['Space', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.26,1172,136797,1470,6765,89863,4261,2071,33837,136797,12685,19559,22953,11927,3542,1264,396,143,101,297
Stand By Me Doraemon 2 - Statistics,Movie,1,Finished Airing,"Nov 20, 2020",,,"Shirogumi,       Shin-Ei Animation","['Comedy', 'Kids', 'Sci-Fi', 'Seinen']",1 hr. 35 min.,PG - Children,8.26,6070,6463,49,158,2888,59,52,3306,6463,667,574,699,349,115,47,22,3,7,11
Saga of Tanya the Evil: The Movie,Movie,1,Finished Airing,"Feb 8, 2019",,,Nut,"['Action', 'Military', 'Magic']",1 hr. 38 min.,R - 17+ (violence & profanity),8.26,911,178568,732,4168,114971,1371,597,57461,178568,12663,25889,31201,13627,3614,1134,455,156,99,176
My Hero Academia 2,TV,25,Finished Airing,"Apr 1, 2017 to Sep 30, 2017",Spring 2017,Saturdays at 17:30 (JST),Bones,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.26,14,1829317,16370,114944,1593368,16972,12893,91140,1829317,202837,352042,405221,205150,58948,20633,5876,2255,1175,2521
Daily Lives of High School Boys,TV,12,Finished Airing,"Jan 10, 2012 to Mar 27, 2012",Winter 2012,Tuesdays at 02:00 (JST),Sunrise,"['Slice of Life', 'Comedy', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.26,186,637765,11505,39588,388131,27701,17570,164775,637765,59957,86070,99302,53914,17390,6778,2222,889,397,429
Kuroko's Basketball 2,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 01:58 (JST),Production I.G,"['Comedy', 'Sports', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.26,185,638198,3774,26491,537597,9250,6092,58768,638198,70919,106014,130883,68424,19534,6573,1860,659,280,668
Magi: The Kingdom of Magic - Statistics,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014",Fall 2013,Sundays at 17:00 (JST),A-1 Pictures,"['Action', 'Adventure', 'Magic', 'Fantasy', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,8.26,160,680784,6800,30604,492434,15775,11789,130182,680784,57287,103621,123651,62103,17729,6420,1969,664,290,340
