,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Fruits Basket: The Final - Statistics,TV,13,Currently Airing,"Apr 6, 2021 to ?",Spring 2021,Tuesdays at 01:30 (JST),TMS Entertainment,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,8.94,1039,154849,2608,72184,17,1897,619,80132,154849,10568,6552,4178,1507,461,216,75,37,43,254
Your Name.,Movie,1,Finished Airing,"Aug 26, 2016",,,CoMix Wave Films,"['Romance', 'Supernatural', 'School', 'Drama']",1 hr. 46 min.,PG-13 - Teens 13 or older,8.92,9,1950222,69548,44727,1658873,5278,2739,238605,1950222,567593,381355,235684,103043,35566,14574,6116,2454,1274,4272
Owarimonogatari Second Season,TV,7,Finished Airing,"Aug 12, 2017 to Aug 13, 2017",Summer 2017,Not scheduled once per week,Shaft,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",22 min. per ep.,R - 17+ (violence & profanity),8.92,525,297018,6490,12323,174756,4054,1829,104056,297018,52251,45761,26944,9876,2970,1023,398,169,125,1211
Code Geass: Lelouch of the Rebellion R2,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17:00 (JST),Sunrise,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",24 min. per ep.,R - 17+ (violence & profanity),8.91,41,1366943,62717,42000,1138692,19200,13427,153624,1366943,385693,267305,159781,69968,24325,10445,5619,2654,1417,2421
Gintama.: Silver Soul Arc - Second Half War,TV,14,Finished Airing,"Jul 9, 2018 to Oct 8, 2018",Summer 2018,Mondays at 01:35 (JST),Bandai Namco Pictures,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.87,1237,128946,807,6584,75901,1910,1173,43378,128946,23772,17393,11526,4430,1359,570,225,115,68,952
Haikyu!! 3rd Season,TV,10,Finished Airing,"Oct 8, 2016 to Dec 10, 2016",Fall 2016,Saturdays at 01:55 (JST),Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.83,113,832710,12386,30592,714181,6076,3692,78169,832710,174330,190026,125954,45070,10701,3490,958,358,202,1356
Mob Psycho 100 II - Statistics,TV,13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019",Winter 2019,Mondays at 23:00 (JST),Bones,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.82,93,962969,21719,60859,724421,12904,4767,160018,962969,168294,225046,142195,44431,9731,2767,805,308,185,1088
Fate/stay night: Heaven's Feel - III. Spring Song,Movie,1,Finished Airing,"Aug 15, 2020",,,ufotable,"['Action', 'Supernatural', 'Magic', 'Fantasy']",2 hr. 2 min.,R - 17+ (violence & profanity),8.81,904,180571,4197,4813,81460,1348,397,92553,180571,24067,21503,13960,5554,1874,698,384,235,166,289
Gintama.: Silver Soul Arc,TV,12,Finished Airing,"Jan 8, 2018 to Mar 26, 2018",Winter 2018,Mondays at 01:35 (JST),Bandai Namco Pictures,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,8.81,1134,142128,908,8398,84821,2320,1355,45234,142128,26123,19118,13691,5515,1684,673,321,169,95,1032
Kizumonogatari III: Reiketsu-hen - Statistics,Movie,1,Finished Airing,"Jan 6, 2017",,,Shaft,"['Action', 'Mystery', 'Supernatural', 'Vampire']",1 hr. 23 min.,R - 17+ (violence & profanity),8.81,449,340032,5240,7550,242378,2195,1029,86880,340032,60972,68495,41836,14446,4137,1481,622,309,164,663
Spirited Away,Movie,1,Finished Airing,"Jul 20, 2001",,,Studio Ghibli,"['Adventure', 'Supernatural', 'Drama']",2 hr. 4 min.,PG - Children,8.81,40,1370788,23879,16368,1235967,3471,1553,113429,1370788,352509,280377,203964,85671,25049,8676,2732,983,560,1287
Gintama: The Final - Statistics,Movie,1,Finished Airing,"Jan 8, 2021",,,Bandai Namco Pictures,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Drama', 'Samurai', 'Shounen']",1 hr. 44 min.,PG-13 - Teens 13 or older,8.8,2585,42405,683,2190,5380,671,222,33942,42405,4040,836,590,224,99,50,14,16,23,379
Violet Evergarden Movie - Statistics,Movie,1,Finished Airing,"Sep 18, 2020",,,Kyoto Animation,"['Slice of Life', 'Drama', 'Fantasy']",2 hr. 20 min.,PG-13 - Teens 13 or older,8.79,638,249268,1536,6836,49720,2787,453,189472,249268,14523,10949,8360,3760,1073,386,123,52,35,155
Jujutsu Kaisen (TV) - Statistics,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01:25 (JST),MAPPA,"['Action', 'Demons', 'Supernatural', 'School', 'Shounen']",23 min. per ep.,R - 17+ (violence & profanity),8.78,65,1158451,41221,356921,607697,20565,9020,164248,1158451,178348,251790,169041,49765,11372,4334,1305,530,336,1316
Monogatari Series: Second Season - Statistics,TV,26,Finished Airing,"Jul 7, 2013 to Dec 29, 2013",Summer 2013,Sundays at 00:00 (JST),Shaft,"['Mystery', 'Comedy', 'Supernatural', 'Romance', 'Vampire']",24 min. per ep.,R - 17+ (violence & profanity),8.78,248,541377,20071,35938,356033,16749,5782,126875,541377,86276,102228,67236,23803,6251,2471,1102,560,322,892
Monster - Statistics,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,Wednesdays at 00:40 (JST),Madhouse,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",24 min. per ep.,R+ - Mild Nudity,8.78,159,687264,28738,73713,235892,51906,24754,300999,687264,86948,67000,47513,23965,9598,4715,2245,927,632,1248
